Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR1039518_pass_2P	SRR1039518_pass_2P.cutadapt.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30425713.0	1.9 Gbp	0.0	36-63	49.0	45.71572475543119	62.93469990333505	63	pass	pass	fail	pass	pass	pass	pass	warn	fail	pass	pass
SRR1039519_pass_1P	SRR1039519_pass_1P.cutadapt.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22096485.0	1.3 Gbp	0.0	36-63	49.0	49.90237177139007	62.87895875746754	63	pass	pass		pass	pass	pass	pass	warn	fail	pass	pass
SRR1039519_pass_2P	SRR1039519_pass_2P.cutadapt.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22096485.0	1.3 Gbp	0.0	36-63	49.0	50.7797628859983	62.93476636668683	63	pass	pass		pass	pass	pass	pass	warn	warn	pass	pass
SRR1039520_pass_1P	SRR1039520_pass_1P.cutadapt.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21267034.0	1.3 Gbp	0.0	36-63	49.0	50.113883541945434	62.879434903804636	63	pass	pass		pass	pass	pass	pass	warn	warn	pass	pass
SRR1039520_pass_2P	SRR1039520_pass_2P.cutadapt.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21267034.0	1.3 Gbp	0.0	36-63	49.0	50.74506819644202	62.93572408827672	63	pass	pass		pass	pass	pass	pass	warn	warn	pass	pass
SRR1039521_pass_1P	SRR1039521_pass_1P.cutadapt.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23474559.0	1.4 Gbp	0.0	36-63	49.0	47.690911678880575	62.87792550224266	63	pass	pass		pass	pass	pass	pass	warn	fail	pass	pass
SRR1039521_pass_2P	SRR1039521_pass_2P.cutadapt.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23474559.0	1.4 Gbp	0.0	36-63	49.0	48.651348081565295	62.93500636156786	63	pass	pass		pass	pass	pass	pass	warn	fail	pass	pass
SRR1039522_pass_1P	SRR1039522_pass_1P.cutadapt.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28117313.0	1.7 Gbp	0.0	36-63	49.0	45.88886709987847	62.878151941474634	63	pass	pass		pass	pass	pass	pass	warn	fail	pass	pass
SRR1039522_pass_2P	SRR1039522_pass_2P.cutadapt.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28117313.0	1.7 Gbp	0.0	36-63	49.0	46.66206973140716	62.93456469329057	63	pass	pass		pass	pass	pass	pass	warn	fail	pass	pass
SRR1039523_pass_1P	SRR1039523_pass_1P.cutadapt.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31090190.0	1.9 Gbp	0.0	36-63	49.0	44.18276449343488	62.87834252540753	63	pass	pass	pass	pass	pass	pass	pass	warn	fail	pass	pass
SRR1039523_pass_2P	SRR1039523_pass_2P.cutadapt.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31090190.0	1.9 Gbp	0.0	36-63	49.0	44.62627856733748	62.935806793075244	63	pass	pass	warn	pass	pass	pass	pass	warn	fail	pass	pass
